id_filme,titulo,palavras_chave,popularidade
27404,My Big Fat Independent Movie,"big fat greek wedding ,""; another teen movie .""; run lola run ,""; pulp fiction ,""; good girl ,""",0.68822
97430,The Man with the Iron Fists,small village; must defend; makes weapons; feudal china; fellow villagers,17.672021
948,Halloween,institutionalized since childhood; bookish teenage girl; psychotic murderer; john carpenter; horror classic,30.301307
11153,National Lampoon's Vacation,walley world theme park; go exactly; clark griswold; vacation; things,22.838834
209403,Bad Words,spelling bee championship organization; national spelling bee; misanthropic man sets; eventually discovers winning; would destroy,14.105392
11386,The Crying Game,irish republican army member fergus; fellow ira members jude; jody makes fergus promise; former ira colleagues; kidnapped british soldier,8.839651
8913,Pet Sematary,cursed burial ground deep; woods brings; return trip; pet cemetery; louis creed,20.747994
10895,Pinocchio,star dreams really; blue fairy arrives; wooden puppet pinocchio; pinocchio must prove; lonely toymaker geppetto,46.007991
30246,Civil Brand,american female prison; whitehead correctional; like conditions; falsely convicted; fellow inmates,0.665512
11228,Daylight,trucks transporting toxic waste; armed robbers fleeing; new jersey tunnel; tunnel collapsing; structure collapses,16.681269
335874,Childless,... well ... grown; ups struggle; typical teenager; strikingly disarming; frequently self,0.243853
21355,All the Pretty Horses,young texan named john grady finds; pal embark; mother sells; lured south; lives forever,7.524671
67675,Glee: The Concert Movie,summer 2011 tour; featuring song performances; concert documentary shot; show influenced; life stories,9.933926
9288,Dungeons & Dragons: Wrath of the Dragon God,unleashing unstoppable destruction; former master profion; undead entity; ridley freeborn; hundred years,4.901936
347126,God's Not Dead 2,reasoned response lands; high school teacher; could expel god; public square; deep trouble,6.96858
68718,Django Unchained,brutal mississippi plantation owner; german bounty hunter; freed slave sets; wife; rescue,82.121691
72976,Lincoln,tumultuous final months; strong winds; revealing drama; nation divided; moral courage,36.307296
12837,The Secret Life of Bees,south carolina town; south carolina; troubled relationship; old girl; lonely life,7.645979
43213,Chicago Overcoat,one last job leads; one last chance; detective become entwined; old score; aging hitman,1.034844
10397,Angela's Ashes,northern irish father makes; irish expat frank mccourt; republic difficult despite; best selling autobiography; war limerick,4.88794
38665,The Legend of the Lone Ranger,old childhood comanche friend; great masked western hero; rescue president grant; militaristic outlaw leader; young texas ranger,11.725805
4327,Charlie's Angels,1970s hit tv series; martial arts training; alex still work; still flip; unsubtle humor,40.20395
9443,Chariots of Fire,british athletes preparing; 1924 summer olympics; true story; competing,10.439971
329540,The Marine 4: Moving Target,corrupt military defence contractor; wwe superstar mike; heavily armed team; military hires; mizanin returns,3.696123
209274,Ida,tragic family story; wanda tells anna; see wanda; women embark; orphan brought,13.265432
8698,The League of Extraordinary Gentlemen,victorian literature band together; world war; famous characters; cunning villain; prevent,47.436675
2148,The Cotton Club,"cotton club ',; frequented harlem; famous nightclubs; story; ran",8.59075
287625,Stories of Our Lives,based arts collective —; oppressed lgbtq community; reprisal —; life stories; kenya ’,0.327794
10053,When a Stranger Calls,teenager named jill johnson arrives; sadistic caller turn jill; children fast asleep; sitting job; routine experience,4.688212
39806,Princess Kaiulani,"century hawaiian princess raised; orianka kilcher ),; gorgeous photography highlight; aggressive american businessmen; princess kaiulani",0.717811
11775,Intolerable Cruelty,womanizing beverly hills lawyer; seeking gold digger marries; revenge; making; killing,22.620125
14425,PCU,nervous high school senior tom lawrence visits port chester university; politically correct college life; nasty preppy rand mcpherson; fraternity wild man droz; school,8.738737
376004,Adulterers,stifling heat wave; humiliated lover captive; wife cheating; true events; takes place,1.471139
57165,Wrath of the Titans,year old son; ruling brothers zeus; demigod son; village fisherman; supremacy rages,44.927635
14022,Slacker,texas among; something set; social outcasts; randomly coming; one scene,3.320622
7863,Shine,pianist david helfgott; years later; critical acclaim; teachers; returns,10.396305
23169,Remember Me,tyler hawkins discovers; separate tragedies jeopardizes; meets ally craig; heartbreaking family event; couple draws closer,36.764666
65754,The Girl with the Dragon Tattoo,salander uncover immense corruption beyond anything; punk computer hacker named lisbeth salander; stieg larsson follows; 40 years ago; work together,47.651083
72766,Newlyweds,respective sisters; newlywed couple; upended; honeymoon; arrivals,0.642552
10199,The Tale of Despereaux,hearted rat friend roscuro; comically oversized ears; far away kingdom; dor ... lived; time ...,16.493576
37735,Easy A,"clean cut high school girl sees; life paralleling hester prynne; scarlet letter ,""; little white lie; virginity gets",45.395839
228550,Raymond Did It,mentally challenged raymond rourke gets blamed; state mental hospital; six years later; younger brother bryce; raymond escapes,0.160779
22215,Cheri,sumptuous dramatic comedy set; late 19th century france; first world war erupted; european upper classes; cultural excess,5.494047
1901,In Good Company,new supervisor becomes romantically involved; naive supervisor carter duryea; seasoned advertisement sales executive; old college student alex; corporate takeover results,15.376391
9637,Scooby-Doo,affects young visitors; two years; strange ways; spooky island; separate ways,31.435539
70160,The Hunger Games,drunken former victor haymitch abernathy; “ tributes ” must fight; katniss must make impossible choices; part government intimidation tactic; part twisted entertainment,68.550698
9665,Glory,robert gould shaw leads; us civil war; black volunteer company; union army; fighting prejudices,16.102271
1372,Blood Diamond,explosive civil war overtaking 1999 sierra leone; brutal rebel forces ripping; two desperate missions; rare pink diamond; mercenary turned smuggler,52.792678
14758,Good Dick,wisecracking video store clerk develops; particularly reclusive customer; brief daily transactions; video store; unconventional campaign,1.948435
25195,Leap Year,yet another anniversary passes without; true love; take action; marriage proposal; lead anna,21.959742
290370,Mutant World,disastrous meteor impact wipes; nascent society besieged; vicious marauders; twisted version; survivalists emerge,1.893697
270554,Echo Dr.,home security system malfunctions; art patrol guard; family struggles; survive; state,0.053755
48035,Ordet,long night brings sharp focus; hearted agnostic whose wife inger; rational doctor arrives; least four views; traditional lutheranism,3.225189
11467,America's Sweethearts,studio publicist scrambles; nasty public breakup; married movie stars; print kidnapped; latest film,10.698929
18501,Gamer,ultimate challenge becomes regaining; control human prisoners; line game called; control technology; taken society,27.631262
64689,Killing Them Softly,three dumb guys rob; mob protected card game; local criminal economy; restore order; jackie cogan,24.612603
8592,Dick Tracy,breathless mahoney makes advances towards; comic strip detective finds; battle big boy caprice; life vastly complicated; united mob,7.859226
787,Mr. & Mrs. Smith,secret lives collide; paid assassins working; ordinary suburbanites john; wicked comedy; wedded bliss,44.635452
50942,Creature,abandoned secret military base; like monster terrorizes; marine biologist; late ...; amphibious shark,2.857848
225235,The Geographer Drank His Globe Away,students immediately dub sluzhkin; victor sluzhkin signs; numerous grim surprises; stultifying reality; seeking adolescents,1.876621
7214,Coach Carter,richmond high school head basketball coach ken carter made headlines; undefeated team due; poor academic results; true story; benching,23.234651
34563,Our Family Wedding,respective fathers try; young couple; weeks leading; wedding; stressful,6.733485
11531,Book of Shadows: Blair Witch 2,young adults become fascinated; three missing filmmakers; really happened; woods; maryland,3.890223
270946,Penguins of Madagascar,private join forces; villainous dr; undercover organization; octavius brine; north wind,84.366984
9772,Air Force One,russian terrorists conspire; risk everything; impossible predicament; chief finds; terrorists,36.38795
147441,Exodus: Gods and Kings,defiant leader moses rises; egyptian pharaoh ramses; terrifying cycle; setting 400; monumental journey,101.599427
179144,The Great Beauty,jep looks past; jep gambardella; timeless landscape; lavish nightlife; exquisite beauty,32.523573
